Reference, Quantity, Value, Footprint, Datasheet, Manufacturer, Part Number, Alternative, Alternative Manufacturer
C11 C9 ,2,47uF,Capacitor_SMD:C_0805_2012Metric,,Murata,GRM21BR61A476ME15L,,
C2 C16 C10 C14 C15 C17 C18 C5 C1 ,9,100nF,Capacitor_SMD:C_0402_1005Metric,,Murata,GRM155R61E104KA87D,,
C6 C4 C3 ,3,33pF,Capacitor_SMD:C_0402_1005Metric,,Yageo,CC0402JRNP09BN330,,
C8 C12 C13 C7 ,4,470uF,Capacitor_SMD:C_Elec_6.3x7.7,,Panasonic,EEEFTA471XAP,,
D2 D1 D4 D3 D5 ,5,~,PiJuice_mPCIe_HAT_PcbLib:DIODFN2_98X58X50L26X51N,,Littelfuse Inc,SP3030-01ETG,,
D6 ,1,Green,PiJuice_mPCIe_HAT_PcbLib:LED_0402_1005Metric,https://www.kingbrightusa.com/images/catalog/SPEC/APG1005VGC-T-5MAV.pdf,Kingbright,APG1005VGC-T-5MAV,,
D7 ,1,Blue,PiJuice_mPCIe_HAT_PcbLib:LED_0402_1005Metric,https://www.kingbrightusa.com/images/catalog/SPEC/APG1005VGC-T-5MAV.pdf,Kingbright,APG1005PBC-T-5MAV,,
D9 D10 D8 D11 ,4,~,PiJuice_mPCIe_HAT_PcbLib:SODFL1006X40N,,ON Semiconductor,NSR0240P2T5G,,
FB1 ,1,~,PiJuice_mPCIe_HAT_PcbLib:FBD_1206_3216Metric,,Taiyo Yuden,FBMJ3216HS480NT,,
J32 J31 ,2,~,PiJuice_mPCIe_HAT_PcbLib:ShortingJumperCapHorizontal-2_P2.54mm,http://suddendocs.samtec.com/catalog_english/snt.pdf,Samtec Inc,SNT-100-BK-G,,
J6 ,1,~,PiJuice_mPCIe_HAT_PcbLib:PinHeader_2x03_P2.54mm_Horizontal_SMD,http://www.4uconnector.com/online/object/4udrawing/11144.pdf,4UCON,11144,,
K1 ,1,USB_C_Receptacle_USB2.0,PiJuice_mPCIe_HAT_PcbLib:USB_C_Receptacle_GCT_USB4105-GF-A,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,SHOUHAN,TYPE-C.16PIN.040,,
L1 ,1,1uH,PiJuice_mPCIe_HAT_PcbLib:L_Murata_DFE2016,,Murata,DFE201612E-1R0M,,
M1 ,1,MPCIE_LATCH,PiJuice_mPCIe_HAT_PcbLib:MPCIE_LATCH_0480994000,https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/480994000_Dwg.pdf,Molex,480994000,,
P1 ,1,EMCON_RPI_GPIO_HEADER_2x20,PiJuice_mPCIe_HAT_PcbLib:CONN_2X20_SMT_Through_Board,https://www.toby.co.uk/uploads/publications/1540.pdf,TOBY,REF-182665-01,,
P3 ,1,~,PiJuice_mPCIe_HAT_PcbLib:CONN_1X6_SMT_Through_Board,https://gct.co/connector/BG125,GCT,BG125-06-A-1-1-0440-N-C,BS1-006-H500-55/B,E-tec
P4 ,1,~,PiJuice_mPCIe_HAT_PcbLib:TE_1775838-2,https://datasheet.lcsc.com/szlcsc/TE-Connectivity-1775838-2_C91936.pdf,TE Connectivity,1775838-2,,
P5 ,1,~,PiJuice_mPCIe_HAT_PcbLib:DF40C-12DP-0.4V-51,https://www.hirose.com/product/p/CL0684-4149-9-51,Hirose,DF40C-12DP-0.4V(51),,
Q1 ,1,~,Package_TO_SOT_SMD:SOT-723,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/discrete/transistor/digital/dtc023eebtl-e.pdf,Rohm,DTC023EMT2L,,
Q2 ,1,BC856BS,Package_TO_SOT_SMD:SOT-363_SC-70-6,https://assets.nexperia.com/documents/data-sheet/BC856BS.pdf,NEXPERIA,BC856S,,
Q3 ,1,DMP3013SFV,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/DMP3013SFV.pdf,Diodes,DMP2035U-7,,
R11 R4 R1 R8 R12 R18 R25 R15 R14 R13 R10 ,11,220R,Resistor_SMD:R_0402_1005Metric,,Panasonic,ERJ2RKF2200X,,
R2 R5 R3 ,3,22R,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-0722RL,,
R27 R26 R6 R34 R35 ,5,5K1,Resistor_SMD:R_0402_1005Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,Yageo,RC0402FR-075K1L,,
R28 R20 R16 R17 R23 R22 R19 R21 R24 R33 R36 ,11,62K,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402FR-0762KL,,
R7 R32 R31 ,3,15K,Resistor_SMD:R_0402_1005Metric,,Yageo,RC0402JR-0715KL,,
R9 R30 R29 ,3,1K,Resistor_SMD:R_0402_1005Metric,,Yageo,RT0402FRE071KL,,
SK1 ,1,~,PiJuice_mPCIe_HAT_PcbLib:NANO_SIM8060-6-0-14-00-A,https://gct.co/connector/digi-key/sim8060,GCT,SIM8060-6-0-14-00-A,,
SW1 ,1,SW_Push,PiJuice_mPCIe_HAT_PcbLib:SW_TACT_6X3,https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/159/TL3302.pdf,E-Switch,TL3302AF180QJ,,
U1 ,1,~,PiJuice_mPCIe_HAT_PcbLib:BGA20N40P4X5_199X194X60N,https://www.onsemi.com/pub/Collateral/FAN49103-D.PDF,ON Semiconductor,FAN49103AUC340X,,
U2 ,1,~,PiJuice_mPCIe_HAT_PcbLib:DHVQFN14-2.5x3.kicad_mod,https://assets.nexperia.com/documents/data-sheet/74CBTLV3125.pdf,NEXPERIA,"74CBTLV3125BQ,115",,
U3 ,1,~,Package_SON:USON-20_2x4mm_P0.4mm,https://www.ti.com/lit/ds/symlink/txb0108.pdf?ts=1613026212791&ref_url=https%253A%252F%252F192.168.172.80%252Fconnect%252FPortalMain,Texas Instruments,TXB0108DQSR,,
U5 ,1,~,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,ON Semiconductor,CAT24C32WI-GT3,,
